year,id,ifr_itin_ac,ifr_itin_at,ifr_itin_ga,ifr_itin_mil,ifr_itin,vfr_itin_ac,vfr_itin_at,vfr_itin_ga,vfr_itin_mil,vfr_itin,itin_ac,itin_at,itin_ga,itin_mil,itin,local_civil,local_mil,local,total_ops
2000,ELP,54588,16189,25107,4052,99936,1377,1574,22473,1752,27176,55965,17763,47580,5804,127112,12502,1004,13506,140618
2000,EMT,0,627,3303,1,3931,128,2128,85592,226,88074,128,2755,88895,227,92005,69840,72,69912,161917
2000,ENA,41,5303,836,244,6424,503,18731,14447,1343,35024,544,24034,15283,1587,41448,21262,6348,27610,69058
2000,ENW,1,547,10986,2,11536,5,429,43934,68,44436,6,976,54920,70,55972,33163,86,33249,89221
2000,ERI,2615,10566,10446,395,24022,297,706,11175,605,12783,2912,11272,21621,1000,36805,12630,859,13489,50294
2000,EUG,5751,25292,13495,637,45175,448,1111,26403,730,28692,6199,26403,39898,1367,73867,35736,896,36632,110499
2000,EVV,64,27733,17526,256,45579,21,698,13962,203,14884,85,28431,31488,459,60463,24718,186,24904,85367
2000,EWB,0,3089,8269,59,11417,0,11179,15930,121,27230,0,14268,24199,180,38647,25792,943,26735,65382
2000,EWN,0,1614,708,87,2409,0,148,639,86,873,0,1762,1347,173,3282,3178,65,3243,6525
2000,EWR,354921,78088,15808,29,448846,1421,3984,2855,76,8336,356342,82072,18663,105,457182,0,0,0,457182
2000,EYW,1622,27563,14215,33,43433,279,5753,25419,1734,33185,1901,33316,39634,1767,76618,12606,3154,15760,92378
2000,FAI,16165,11044,11594,1257,40060,1589,10812,38022,384,50807,17754,21856,49616,1641,90867,46505,1243,47748,138615
2000,FAR,8038,9789,16339,2848,37014,728,948,20678,1497,23851,8766,10737,37017,4345,60865,33346,2962,36308,97173
2000,FAT,13714,36827,16127,5397,72065,344,6348,61723,2504,70919,14058,43175,77850,7901,142984,113946,2190,116136,259120
2000,FAY,3975,6836,10067,4311,25189,343,634,10184,1521,12682,4318,7470,20251,5832,37871,10506,6196,16702,54573
2000,FCM,0,300,27127,1,27428,0,925,70741,41,71707,0,1225,97868,42,99135,86921,22,86943,186078
2000,FFZ,62,178,2594,20,2854,156,6892,130931,4385,142364,218,7070,133525,4405,145218,128260,1187,129447,274665
2000,FLG,0,4551,2909,17,7477,10,2909,23173,138,26230,10,7460,26082,155,33707,17450,172,17622,51329
2000,FLL,133135,39819,37450,233,210637,15249,15700,49442,355,80746,148384,55519,86892,588,291383,971,108,1079,292462
2000,FLO,0,7224,10504,890,18618,0,314,11141,818,12273,0,7538,21645,1708,30891,5749,368,6117,37008
2000,FMN,0,11418,3922,28,15368,12,736,19499,182,20429,12,12154,23421,210,35797,100286,65,100351,136148
2000,FMY,0,2610,12068,10,14688,2,1504,35972,143,37621,2,4114,48040,153,52309,34174,10,34184,86493
2000,FNT,8492,14005,28790,55,51342,325,721,5176,61,6283,8817,14726,33966,116,57625,75663,64,75727,133352
2000,FOE,27,2412,4560,2955,9954,117,366,7392,996,8871,144,2778,11952,3951,18825,8161,14622,22783,41608
2000,FPR,0,871,24218,5,25094,12,1180,63558,113,64863,12,2051,87776,118,89957,83927,71,83998,173955
2000,FRG,0,2939,18513,56,21508,10,1439,85794,179,87422,10,4378,104307,235,108930,103218,18,103236,212166
2000,FSD,12050,25321,18519,2856,58746,1117,2028,16581,1323,21049,13167,27349,35100,4179,79795,19681,3578,23259,103054
2000,FSM,147,13108,12617,11314,37186,127,1007,9598,2009,12741,274,14115,22215,13323,49927,7400,12404,19804,69731
2000,FTW,105,1779,31615,64,33563,116,739,108163,177,109195,221,2518,139778,241,142758,158243,58,158301,301059
2000,FTY,0,2877,40805,384,44066,0,613,32501,433,33547,0,3490,73306,817,77613,40014,80,40094,117707
2000,FUL,0,14,7558,0,7572,2,370,48327,14,48713,2,384,55885,14,56285,33591,82,33673,89958
2000,FWA,14174,38244,23277,2547,78242,1015,1756,12510,356,15637,15189,40000,35787,2903,93879,26909,2890,29799,123678
2000,FXE,0,7861,53681,5,61547,0,3601,130054,68,133723,0,11462,183735,73,195270,64606,0,64606,259876
2000,FYV,0,776,3769,32,4577,2,273,7303,71,7649,2,1049,11072,103,12226,9183,352,9535,21761
2000,GCK,0,274,214,0,488,4,47,279,8,338,4,321,493,8,826,180,0,180,1006
2000,GCN,15,7873,762,34,8684,142,127415,4415,326,132298,157,135288,5177,360,140982,1769,145,1914,142896
2000,GEG,45313,23367,9110,737,78527,1552,1451,18518,645,22166,46865,24818,27628,1382,100693,15919,1147,17066,117759
2000,GEU,0,0,835,3,838,0,2275,38662,280,41217,0,2275,39497,283,42055,70294,221,70515,112570
2000,GFK,2785,5515,23283,67,31650,547,1073,60513,276,62409,3332,6588,83796,343,94059,142262,25,142287,236346
2000,GGG,35,4198,10666,1687,16586,18,254,16693,610,17575,53,4452,27359,2297,34161,47599,6442,54041,88202
2000,GJT,965,17514,7610,1535,27624,255,3489,33253,1265,38262,1220,21003,40863,2800,65886,27715,3353,31068,96954
